id,location_id,village_id,source_year,population,households,male_population,female_population,workers,main_workers,marginal_workers,literacy_rate,sc_population,other_available_indicators,source_id,confidence,data_status
DEMO-035272-2011,LOC-VIL-035272,VIL-PB-035272,2011,2940,570,1545,1395,1038,837,201,53.64,1093,"{""agricultural_laborers"": 238, ""cultivators"": 291, ""household_industry_workers"": 22, ""other_workers"": 286, ""children_0_6"": 375, ""non_working_population"": 1902, ""marginal_cultivators"": 8, ""marginal_agri_labourers"": 66}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035273-2011,LOC-VIL-035273,VIL-PB-035273,2011,3746,739,2007,1739,1324,1189,135,55.9,1316,"{""agricultural_laborers"": 360, ""cultivators"": 426, ""household_industry_workers"": 62, ""other_workers"": 341, ""children_0_6"": 449, ""non_working_population"": 2422, ""marginal_cultivators"": 37, ""marginal_agri_labourers"": 8}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035274-2011,LOC-VIL-035274,VIL-PB-035274,2011,1696,347,891,805,603,533,70,53.18,1083,"{""agricultural_laborers"": 305, ""cultivators"": 145, ""household_industry_workers"": 2, ""other_workers"": 81, ""children_0_6"": 197, ""non_working_population"": 1093, ""marginal_cultivators"": 1, ""marginal_agri_labourers"": 60}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035275-2011,LOC-VIL-035275,VIL-PB-035275,2011,8732,1772,4619,4113,2901,2519,382,58.47,3865,"{""agricultural_laborers"": 1012, ""cultivators"": 625, ""household_industry_workers"": 29, ""other_workers"": 853, ""children_0_6"": 1018, ""non_working_population"": 5831, ""marginal_cultivators"": 10, ""marginal_agri_labourers"": 182}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035276-2011,LOC-VIL-035276,VIL-PB-035276,2011,1855,346,976,879,676,529,147,51.97,824,"{""agricultural_laborers"": 71, ""cultivators"": 210, ""household_industry_workers"": 3, ""other_workers"": 245, ""children_0_6"": 215, ""non_working_population"": 1179, ""marginal_cultivators"": 0, ""marginal_agri_labourers"": 23}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035277-2011,LOC-VIL-035277,VIL-PB-035277,2011,942,187,482,460,300,230,70,51.59,620,"{""agricultural_laborers"": 99, ""cultivators"": 60, ""household_industry_workers"": 1, ""other_workers"": 70, ""children_0_6"": 105, ""non_working_population"": 642, ""marginal_cultivators"": 1, ""marginal_agri_labourers"": 52}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035278-2011,LOC-VIL-035278,VIL-PB-035278,2011,3726,708,1944,1782,1487,1250,237,51.72,1838,"{""agricultural_laborers"": 493, ""cultivators"": 400, ""household_industry_workers"": 43, ""other_workers"": 314, ""children_0_6"": 467, ""non_working_population"": 2239, ""marginal_cultivators"": 12, ""marginal_agri_labourers"": 168}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035279-2011,LOC-VIL-035279,VIL-PB-035279,2011,826,159,438,388,279,278,1,55.69,515,"{""agricultural_laborers"": 121, ""cultivators"": 52, ""household_industry_workers"": 0, ""other_workers"": 105, ""children_0_6"": 109, ""non_working_population"": 547, ""marginal_cultivators"": 0, ""marginal_agri_labourers"": 1}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035280-2011,LOC-VIL-035280,VIL-PB-035280,2011,3133,548,1655,1478,1146,1081,65,54.13,1440,"{""agricultural_laborers"": 347, ""cultivators"": 291, ""household_industry_workers"": 21, ""other_workers"": 422, ""children_0_6"": 347, ""non_working_population"": 1987, ""marginal_cultivators"": 1, ""marginal_agri_labourers"": 27}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035281-2011,LOC-VIL-035281,VIL-PB-035281,2011,1582,305,826,756,507,475,32,47.72,1036,"{""agricultural_laborers"": 83, ""cultivators"": 108, ""household_industry_workers"": 0, ""other_workers"": 284, ""children_0_6"": 216, ""non_working_population"": 1075, ""marginal_cultivators"": 6, ""marginal_agri_labourers"": 9}",SRC-GOI-CENSUS-2011,0.99,official
